dz_2021_code,ratio_dz_intersection_com
N20003108,0.0922101
N20003112,1
N20003114,0.2413339
N20003154,1
N20003155,1
N20003156,1
N20003157,1
N20003158,1
N20003159,1
N20003160,1
N20003161,1
N20003162,1
N20003163,1
N20003164,1
N20003165,1
N20003166,1
N20003167,1
N20003168,1
N20003169,0.9998302
N20003170,1
N20003171,1
N20003172,1
N20003173,0.3103829
N20003174,1
N20003175,1
N20003176,1
N20003177,1
N20003178,1
N20003179,1
N20003180,0.7682336
N20003181,1
N20003182,0.839412
N20003183,1
N20003184,0.4742405
N20003185,1
N20003186,1
N20003187,1
N20003188,1
N20003189,0.1898811
N20003190,1
N20003191,1
N20003192,0.9994404
N20003193,1
N20003194,0.8625755
N20003195,1
N20003196,1
N20003197,0.5499429
N20003198,0.8712177
N20003199,0.7059054
N20003204,0.0134829
N20003212,0.0177956
N20003215,0.0165712
N20003223,0.0732824
N20003228,0.633133
N20003229,0.0073228
N20003233,0.1180152
