dz_2021_code,ratio_dz_intersection_com
N20000711,0.0505974
N20000712,0.0395079
N20000713,0.3401602
N20000714,1
N20000715,0.8953513
N20000716,1
N20000717,1
N20000718,1
N20000719,1
N20000720,1
N20000721,1
N20000722,1
N20000723,1
N20000724,1
N20000725,1
N20000726,1
N20000727,1
N20000728,1
N20000729,1
N20000730,1
N20000731,1
N20000732,1
N20000733,1
N20000734,0.9809236
N20000735,1
N20000736,1
N20000737,1
N20000739,1
N20000740,1
N20000741,1
N20000742,1
N20000743,1
N20000744,1
N20000745,0.9483225
N20000746,1
N20000747,1
N20000748,1
N20000749,1
N20000750,1
N20000751,1
N20000752,1
N20000753,1
N20000754,1
N20000755,1
N20000756,1
N20000757,1
N20000758,1
N20000759,0.9739766
N20000760,1
N20000761,1
N20000762,1
N20000763,1
N20000764,0.7200511
N20000765,1
N20000767,1
N20000768,1
N20000770,1
N20000772,0.8830022
N20000774,1
N20000775,1
N20000776,1
N20000783,0.4204992
N20000785,0.0180151
N20000806,0.0182762
N20000809,0.0209452
N20000819,0.6221635
N20000820,0.9859225
N20000827,0.7142863
N20000830,0.2093467
N20000834,1
N20000838,0.0395712
N20000840,0.0107818
N20000846,0.0166255
N20000849,0.015259
N20001297,0.0004156
N20001298,0.0003931
N20001369,1
N20001370,1
N20001371,1
N20001372,1
N20001373,1
N20001374,1
N20001375,1
N20001376,1
N20001377,1
N20001378,0.0695888
N20001379,1
N20001380,0.9441631
N20001381,1
N20001382,1
N20001383,1
N20001384,1
N20001385,1
N20001386,1
N20001387,1
N20001388,0.9942513
N20001389,1
N20001390,1
N20001391,1
N20001392,1
N20001393,1
N20001394,1
N20001395,1
N20001396,0.9788738
N20001397,1
N20001398,1
N20001399,1
N20001400,1
N20001401,0.9999706
N20001402,0.9520003
N20001403,1
N20001404,1
N20001405,1
N20001406,1
N20001407,1
N20001408,1
N20001409,1
N20001410,1
N20001411,1
N20001412,1
N20001413,0.8593861
N20001414,0.9556966
N20001415,1
N20001416,0.9941677
N20001417,1
N20001419,1
N20001420,0.0650195
N20001421,1
N20001422,0.9201787
N20001423,0.0897104
N20001424,0.9559372
N20001425,1
N20001426,1
N20001427,0.4486195
N20001428,0.0042674
N20001429,0.0199398
N20001431,0.0117277
N20001432,0.0584229
N20001433,0.0043891
N20001434,0.999292
N20001435,0.0224202
N20001437,0.2569958
N20001439,0.0077353
N20001443,0.380825
